id,nombre_apellido,edad,localidad,lista_numeros,conexiones
0,Juan Garcia,45,Usaquen,"[3, 8, 1, 6, 0]","[188, 114, 152, 12, 14, 84, 91, 168]"
1,Maria Rodriguez,28,Chapinero,"[9, 4, 7, 2, 5]","[184, 142, 115, 22, 119, 34]"
2,Jose Perez,62,Santa Fe,"[5, 0, 3, 8, 1]","[111, 140, 48, 83, 169, 58, 178]"
3,Ana Torres,33,San Cristobal,"[1, 6, 9, 4, 7]","[101, 115, 159, 119, 62, 178, 186]"
4,Carlos Sanchez,55,Usme,"[8, 3, 6, 1, 4]","[143, 80, 54, 95, 175]"
5,Laura Ramirez,21,Tunjuelito,"[4, 9, 2, 7, 0]","[105, 18, 150, 89, 71, 181, 195]"
6,David Gonzalez,70,Bosa,"[0, 5, 8, 3, 6]","[143, 80, 44, 169, 175, 180]"
7,Valentina Martinez,25,Kennedy,"[7, 2, 5, 0, 3]","[190, 111, 148, 88, 167, 183]"
8,Luis Hernandez,61,Fontibon,"[3, 8, 1, 6, 9]","[118, 185, 95, 159, 174]"
9,Sofia Lopez,40,Engativa,"[9, 4, 7, 2, 5]","[103, 129, 185, 151, 75, 194]"
10,Isabella Diaz,38,Suba,"[5, 0, 3, 8, 1]","[101, 143, 88, 99, 155]"
11,Mateo Moreno,27,Barrios Unidos,"[2, 7, 0, 5, 8]","[123, 184, 160, 179, 196]"
12,Camila Jimenez,58,Teusaquillo,"[8, 3, 6, 1, 4]","[170, 192, 131]"
13,Daniel Romero,48,Los Martires,"[4, 9, 2, 7, 0]","[102, 125, 148, 81, 111, 134]"
14,Mariana Alvarez,31,Antonio Narino,"[1, 6, 9, 4, 7]","[131, 166]"
15,Sebastian Castro,65,Puente Aranda,"[7, 2, 5, 0, 3]","[159, 18, 145, 108, 198]"
16,Valeria Munoz,22,La Candelaria,"[3, 8, 1, 6, 9]","[118, 17, 191, 157, 186]"
17,Matias Rojas,51,Rafael Uribe Uribe,"[0, 5, 8, 3, 1]","[161, 183, 30, 171]"
18,Gabriela Vargas,29,Ciudad Bolivar,"[6, 1, 4, 9, 2]","[128, 150]"
19,Felipe Herrera,47,Sumapaz,"[2, 7, 0, 5, 8]","[128, 154, 70, 187]"
20,Emma Gomez,35,Usaquen,"[9, 4, 7, 2, 5]","[115, 158, 193, 152]"
21,Alejandro Flores,59,Chapinero,"[5, 0, 3, 8, 1]","[154, 171, 83, 149]"
22,Luciana Pena,24,Santa Fe,"[1, 6, 9, 4, 7]","[193, 184, 120, 188]"
23,Emiliano Cruz,67,San Cristobal,"[8, 3, 6, 1, 4]","[140, 179, 166, 130]"
24,Julieta Soto,30,Usme,"[4, 9, 2, 7, 0]","[182, 134, 194, 94]"
25,Samuel Rios,43,Tunjuelito,"[0, 5, 8, 3, 1]","[145, 171, 184, 112, 140]"
26,Martina Silva,73,Bosa,"[7, 2, 5, 0, 3]","[111, 163, 195, 132, 176]"
27,Nicolas Benitez,21,Kennedy,"[3, 8, 1, 6, 9]","[140, 188, 87, 167, 99]"
28,Mia Paredes,62,Fontibon,"[9, 4, 7, 2, 5]","[126, 185, 118, 190]"
29,Benjamin Guerrero,39,Engativa,"[5, 0, 3, 8, 1]","[172, 127, 119, 87]"
30,Samantha Cardenas,56,Suba,"[2, 7, 0, 5, 8]","[179, 102, 167, 136]"
31,Leonardo Mendez,27,Barrios Unidos,"[8, 3, 6, 1, 4]","[100, 155, 184, 124, 191]"
32,Victoria Bravo,48,Teusaquillo,"[4, 9, 2, 7, 0]","[132, 187, 159, 59, 192]"
33,Joaquin Castillo,32,Los Martires,"[1, 6, 9, 4, 7]","[157, 189, 74, 113, 164]"
34,Elena Navarro,53,Antonio Narino,"[7, 2, 5, 0, 3]","[192, 148, 110, 163]"
35,Diego Miranda,23,Puente Aranda,"[3, 8, 1, 6, 9]","[120, 176, 168, 150, 122]"
36,Catalina Campos,70,La Candelaria,"[0, 5, 8, 3, 1]","[160, 112, 79, 154]"
37,Thiago Ortega,18,Rafael Uribe Uribe,"[6, 1, 4, 9, 2]","[188, 129, 156, 197]"
38,Renata Leon,61,Ciudad Bolivar,"[2, 7, 0, 5, 8]","[112, 161, 141, 185]"
39,Adrian Cabrera,40,Sumapaz,"[9, 4, 7, 2, 5]","[149, 104, 75, 162]"
40,Julian Mora,37,Usaquen,"[5, 0, 3, 8, 1]","[138, 161, 130, 193]"
41,Paula Ibarra,25,Chapinero,"[1, 6, 9, 4, 7]","[180, 173, 100, 154]"
42,Maximiliano Marin,58,Santa Fe,"[8, 3, 6, 1, 4]","[169, 101, 117, 165]"
43,Laura Vega,50,San Cristobal,"[4, 9, 2, 7, 0]","[121, 182, 159, 170]"
44,Juan Jose Rivas,33,Usme,"[0, 5, 8, 3, 1]","[161, 196, 96]"
45,Agustina Ponce,65,Tunjuelito,"[7, 2, 5, 0, 3]","[198, 112, 165, 174]"
